#x	Mode 1: Theta Y	Mode 2: Theta Y	Mode 3: Theta Y	Mode 4: Theta Y	Mode 5: Theta Y	Mode 6: Theta Y	Mode 7: Theta Y	Mode 8: Theta Y	Mode 9: Theta Y	Mode 10: Theta Y	Mode 11: Theta Y	Mode 12: Theta Y	Mode 13: Theta Y	Mode 14: Theta Y	Mode 15: Theta Y	Mode 16: Theta Y	Mode 17: Theta Y	Mode 18: Theta Y	Mode 19: Theta Y	Mode 20: Theta Y
0.18701000	-0.01388000	-0.07027000	-0.11629000	-0.05734000	0.00000000	0.04898000	0.14680000	0.19769000	0.18062000	0.00000000	0.10014000	0.00000000	-0.01639000	-0.12660000	0.00000000	-0.19073000	-0.18443000	0.00000000	-0.11066000	0.00486000
0.19325000	-0.01429000	-0.07108000	-0.11316000	-0.04660000	0.00000000	0.06439000	0.15992000	0.20000000	0.16642000	0.00000000	0.07040000	0.00000000	-0.05258000	-0.15492000	0.00000000	-0.19712000	-0.16173000	0.00000000	-0.06312000	0.06124000
0.19948000	-0.01469000	-0.07180000	-0.10967000	-0.03551000	0.00000000	0.07948000	0.17140000	0.19926000	0.14877000	0.00000000	0.03878000	0.00000000	-0.08692000	-0.17662000	0.00000000	-0.19333000	-0.12912000	0.00000000	-0.01105000	0.11252000
0.20571000	-0.01508000	-0.07242000	-0.10583000	-0.02412000	0.00000000	0.09414000	0.18109000	0.19548000	0.12803000	0.00000000	0.00612000	0.00000000	-0.11823000	-0.19076000	0.00000000	-0.17958000	-0.08861000	0.00000000	0.04182000	0.15446000
0.21195000	-0.01548000	-0.07295000	-0.10165000	-0.01249000	0.00000000	0.10823000	0.18888000	0.18871000	0.10463000	0.00000000	-0.02666000	0.00000000	-0.14541000	-0.19674000	0.00000000	-0.15655000	-0.04264000	0.00000000	0.09169000	0.18352000
0.21818000	-0.01587000	-0.07338000	-0.09716000	-0.00067000	0.00000000	0.12165000	0.19467000	0.17904000	0.07905000	0.00000000	-0.05869000	0.00000000	-0.16753000	-0.19432000	0.00000000	-0.12545000	0.00592000	0.00000000	0.13497000	0.19733000
0.22442000	-0.01625000	-0.07373000	-0.09236000	0.01127000	0.00000000	0.13430000	0.19840000	0.16662000	0.05185000	0.00000000	-0.08908000	0.00000000	-0.18384000	-0.18360000	0.00000000	-0.08789000	0.05414000	0.00000000	0.16859000	0.19474000
0.23065000	-0.01663000	-0.07398000	-0.08726000	0.02327000	0.00000000	0.14607000	0.20000000	0.15163000	0.02358000	0.00000000	-0.11699000	0.00000000	-0.19376000	-0.16503000	0.00000000	-0.04578000	0.09904000	0.00000000	0.19007000	0.17590000
0.23688000	-0.01701000	-0.07414000	-0.08189000	0.03528000	0.00000000	0.15687000	0.19946000	0.13431000	-0.00516000	0.00000000	-0.14168000	0.00000000	-0.19696000	-0.13942000	0.00000000	-0.00132000	0.13787000	0.00000000	0.19791000	0.14246000
0.24312000	-0.01739000	-0.07421000	-0.07626000	0.04724000	0.00000000	0.16662000	0.19677000	0.11493000	-0.03377000	0.00000000	-0.16246000	0.00000000	-0.19332000	-0.10786000	0.00000000	0.04323000	0.16827000	0.00000000	0.19157000	0.09717000
0.24935000	-0.01776000	-0.07420000	-0.07039000	0.05909000	0.00000000	0.17523000	0.19197000	0.09377000	-0.06164000	0.00000000	-0.17876000	0.00000000	-0.18298000	-0.07168000	0.00000000	0.08554000	0.18835000	0.00000000	0.17143000	0.04377000
0.25558000	-0.01812000	-0.07409000	-0.06428000	0.07079000	0.00000000	0.18265000	0.18509000	0.07118000	-0.08819000	0.00000000	-0.19014000	0.00000000	-0.16629000	-0.03245000	0.00000000	0.12344000	0.19690000	0.00000000	0.13901000	-0.01325000
0.26182000	-0.01849000	-0.07390000	-0.05797000	0.08226000	0.00000000	0.18880000	0.17621000	0.04750000	-0.11286000	0.00000000	-0.19628000	0.00000000	-0.14383000	0.00818000	0.00000000	0.15499000	0.19341000	0.00000000	0.09660000	-0.06919000
0.26805000	-0.01885000	-0.07363000	-0.05145000	0.09346000	0.00000000	0.19365000	0.16542000	0.02309000	-0.13513000	0.00000000	-0.19702000	0.00000000	-0.11638000	0.04845000	0.00000000	0.17855000	0.17804000	0.00000000	0.04725000	-0.11935000
0.27429000	-0.01920000	-0.07327000	-0.04476000	0.10433000	0.00000000	0.19715000	0.15284000	-0.00166000	-0.15452000	0.00000000	-0.19234000	0.00000000	-0.08490000	0.08666000	0.00000000	0.19290000	0.15178000	0.00000000	-0.00549000	-0.15958000
